City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
2,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
3,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
4,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
5,Rikitea,PF,75.99,clear sky,-23.1203,-134.9692,People ThankYou
6,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
7,Takoradi,GH,84.04,broken clouds,4.8845,-1.7554,Raybow International Hotel
8,Busselton,AU,58.08,clear sky,-33.65,115.3333,Observatory Guest House
9,Ushuaia,AR,53.22,broken clouds,-54.8,-68.3,Albatros Hotel
10,Port Alfred,ZA,66.31,scattered clouds,-33.5906,26.891,The Halyards Hotel
11,Olafsvik,IS,36.28,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
12,Port Elizabeth,ZA,68.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
13,Raudeberg,NO,32.67,overcast clouds,61.9875,5.1352,Nordre Silda.
14,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
15,Napier,NZ,63.28,overcast clouds,-39.4833,176.9167,The Nautilus Napier
16,Narasannapeta,IN,68.27,moderate rain,18.4167,84.05,G.lingaraju home
17,Hermanus,ZA,67.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
19,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
20,Bethel,US,45.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
22,Kavieng,PG,81.86,few clouds,-2.5744,150.7967,Nusa Island Retreat
23,Hasaki,JP,39.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
25,Sola,VU,75.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
26,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
27,Matay,EG,66.15,overcast clouds,28.419,30.7792,Nag Aespen
28,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
29,Esperance,AU,53.44,clear sky,-33.8667,121.9,Hospitality Esperance
30,Longyearbyen,SJ,33.64,shower sleet,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
31,East London,ZA,68.94,broken clouds,-33.0153,27.9116,Tu Casa
32,Kapit,MY,74.97,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
33,Hilo,US,74.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
35,Severo-Kurilsk,RU,39.51,broken clouds,50.6789,156.125,Kak Doma
37,Khandbari,NP,59.43,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
38,Hithadhoo,MV,81.63,few clouds,-0.6,73.0833,Scoop Guest House
39,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
40,Carballo,ES,55.9,overcast clouds,43.213,-8.691,Pazo do Souto
41,Castro,BR,72.7,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
43,Leh,IN,20.37,clear sky,34.1667,77.5833,Hotel Ladakh Greens
44,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
45,Shimoda,JP,49.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
46,Jamestown,US,36.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,Margate,GB,47.91,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
49,Bluff,NZ,58.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Vardo,NO,30.18,broken clouds,70.3705,31.1107,Vardø Hotel AS
51,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
52,Jinchang,CN,31.98,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
53,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
54,Seka,TH,56.28,broken clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
55,Mataura,NZ,58.48,light rain,-46.1927,168.8643,Ellie's Villa
56,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Atuona,PF,78.21,few clouds,-9.8,-139.0333,Villa Enata
58,Svetlogorsk,BY,30.56,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
59,Damietta,EG,67.89,overcast clouds,31.4165,31.8133,SULIMAN INN
60,Lasa,IT,31.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
62,Codrington,AU,54.41,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
63,Mogadishu,SO,80.65,scattered clouds,2.0371,45.3438,Hotel Juba
64,Asuncion Nochixtlan,MX,58.44,overcast clouds,17.4667,-97.2333,Hotel Kristal
