City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,13.26,94,100,3.69,light snow
1,Labuhan,ID,-6.8844,112.2051,80.04,83,88,5.5,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,57.31,41,75,31.07,broken clouds
3,Najran,SA,17.4924,44.1277,70.45,20,3,6.89,clear sky
4,Georgetown,MY,5.4112,100.3354,80.89,82,40,5.99,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,75.99,75,6,15.19,clear sky
6,Riyadh,SA,24.6877,46.7219,66.34,37,0,8.63,clear sky
7,Takoradi,GH,4.8845,-1.7554,84.04,69,70,9.33,broken clouds
8,Busselton,AU,-33.65,115.3333,58.08,66,0,15.88,clear sky
9,Ushuaia,AR,-54.8,-68.3,53.22,54,75,6.91,broken clouds
10,Port Alfred,ZA,-33.5906,26.891,66.31,67,45,10.25,scattered clouds
11,Olafsvik,IS,64.8945,-23.7142,36.28,68,100,6.26,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,68.29,68,40,10.36,scattered clouds
13,Raudeberg,NO,61.9875,5.1352,32.67,64,100,7.9,overcast clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,61,40,11.5,scattered clouds
15,Napier,NZ,-39.4833,176.9167,63.28,83,100,3.0,overcast clouds
16,Narasannapeta,IN,18.4167,84.05,68.27,91,100,9.15,moderate rain
17,Hermanus,ZA,-34.4187,19.2345,67.8,68,44,14.9,scattered clouds
18,Isangel,VU,-19.55,169.2667,75.31,78,97,5.75,overcast clouds
19,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,9.22,scattered clouds
20,Bethel,US,41.3712,-73.414,45.01,55,59,3.0,broken clouds
21,Norman Wells,CA,65.282,-126.8329,-23.76,69,75,8.05,light snow
22,Kavieng,PG,-2.5744,150.7967,81.86,76,17,6.02,few clouds
23,Hasaki,JP,35.7333,140.8333,39.6,51,0,6.44,clear sky
24,Tiznit,MA,29.5833,-9.5,63.57,35,0,4.45,clear sky
25,Sola,VU,-13.8833,167.55,75.87,100,75,0.0,broken clouds
26,Carnarvon,AU,-24.8667,113.6333,73.47,73,0,19.57,clear sky
27,Matay,EG,28.419,30.7792,66.15,37,100,7.54,overcast clouds
28,Morant Bay,JM,17.8815,-76.4093,85.62,71,85,13.31,overcast clouds
29,Esperance,AU,-33.8667,121.9,53.44,78,1,12.77,clear sky
30,Longyearbyen,SJ,78.2186,15.6401,33.64,75,90,23.02,shower sleet
31,East London,ZA,-33.0153,27.9116,68.94,68,75,8.05,broken clouds
32,Kapit,MY,2.0167,112.9333,74.97,99,100,1.92,overcast clouds
33,Hilo,US,19.7297,-155.09,74.28,89,6,5.01,clear sky
34,Panguna,PG,-6.3164,155.4848,68.25,94,91,1.23,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,39.51,84,70,18.95,broken clouds
36,Tasiilaq,GL,65.6145,-37.6368,10.72,57,2,7.92,clear sky
37,Khandbari,NP,27.3747,87.2039,59.43,87,85,2.04,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,81.63,79,11,10.0,few clouds
39,Kununurra,AU,-15.7667,128.7333,84.18,74,85,8.05,overcast clouds
40,Carballo,ES,43.213,-8.691,55.9,93,95,7.61,overcast clouds
41,Castro,BR,-24.7911,-50.0119,72.7,61,91,5.44,overcast clouds
42,Albany,US,42.6001,-73.9662,37.45,61,56,8.01,broken clouds
43,Leh,IN,34.1667,77.5833,20.37,62,1,3.29,clear sky
44,Avarua,CK,-21.2078,-159.775,73.45,94,90,12.66,overcast clouds
45,Shimoda,JP,34.6667,138.95,49.1,68,0,19.93,clear sky
46,Jamestown,US,42.097,-79.2353,36.01,85,100,5.99,overcast clouds
47,Chapais,CA,49.7834,-74.8492,8.38,91,100,10.98,overcast clouds
48,Margate,GB,51.3813,1.3862,47.91,89,100,1.99,overcast clouds
49,Bluff,NZ,-46.6,168.3333,58.8,94,74,5.82,broken clouds
50,Vardo,NO,70.3705,31.1107,30.18,51,75,8.05,broken clouds
51,Nouadhibou,MR,20.931,-17.0347,76.98,36,49,18.41,sand
52,Jinchang,CN,38.4953,102.1739,31.98,23,0,3.56,clear sky
53,Hobart,AU,-42.8794,147.3294,55.26,60,75,4.0,broken clouds
54,Seka,TH,17.9285,103.9552,56.28,58,56,3.4,broken clouds
55,Mataura,NZ,-46.1927,168.8643,58.48,100,82,1.86,light rain
56,Puerto Ayora,EC,-0.7393,-90.3518,75.16,78,85,9.33,overcast clouds
57,Atuona,PF,-9.8,-139.0333,78.21,71,20,18.79,few clouds
58,Svetlogorsk,BY,52.6333,29.7333,30.56,88,100,9.22,overcast clouds
59,Damietta,EG,31.4165,31.8133,67.89,57,100,9.75,overcast clouds
60,Lasa,IT,46.6166,10.7002,31.69,62,9,3.8,clear sky
61,Saskylakh,RU,71.9167,114.0833,-33.74,99,96,6.29,overcast clouds
62,Codrington,AU,-38.2667,141.9667,54.41,70,94,12.86,overcast clouds
63,Mogadishu,SO,2.0371,45.3438,80.65,71,40,15.86,scattered clouds
64,Asuncion Nochixtlan,MX,17.4667,-97.2333,58.44,66,89,5.77,overcast clouds
65,Lebu,CL,-37.6167,-73.65,57.85,64,0,17.49,clear sky
66,New Norfolk,AU,-42.7826,147.0587,54.91,54,54,3.0,broken clouds
67,Evensk,RU,61.95,159.2333,-12.75,77,97,7.99,overcast clouds
68,Coihaique,CL,-45.5752,-72.0662,61.41,55,20,4.61,few clouds
69,Ancud,CL,-41.8697,-73.8203,60.33,59,0,8.95,clear sky
70,Ruwi,OM,23.5996,58.5507,75.97,55,0,6.46,clear sky
71,Margherita,IN,27.2833,95.6833,64.81,82,86,2.95,overcast clouds
72,Yuancheng,CN,36.652,107.7896,31.68,26,85,1.57,overcast clouds
73,Unai,BR,-16.3575,-46.9061,87.73,53,77,3.76,broken clouds
74,Moratuwa,LK,6.773,79.8816,82.42,79,100,2.13,overcast clouds
